 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
14 16 25 11 28 30 12 19 21 11 22 14 10 23 0 18 23 18 10 22 25 20 30 23 12 13 10 16 22 27 13 12 23 27 23 19 30 14 12 28 13 27 15 13 27 23 27 21 17 23 17 14 22 16 19 12 12 27 24 16 20 29 21 23 21 28 28 26 13 14 20 28 15 23 25 27 12 20 12 24 23 12 27 27 13 12 21 21 22 26 23 13 26 20 19 23 19 26 16 14 30 
15 26 18 10 20 21 20 21 15 29 26 19 28 14 18 0 14 10 19 25 12 14 16 28 27 23 12 21 16 20 15 13 21 11 22 16 25 13 12 24 13 16 13 12 10 16 10 30 12 30 22 15 29 24 18 28 26 18 29 14 15 26 16 24 26 13 13 30 26 29 17 30 14 28 14 27 25 30 14 20 25 26 12 23 19 25 10 16 18 13 10 30 25 30 21 15 27 13 23 30 28 
16 22 28 26 23 28 23 29 23 10 11 15 17 10 23 14 0 27 25 28 18 21 25 21 13 30 11 14 14 18 14 25 10 25 22 17 27 28 14 25 13 27 22 12 20 15 15 16 29 21 16 16 13 21 29 30 16 28 17 14 21 27 30 26 14 23 24 12 10 21 26 18 15 23 13 10 10 23 18 18 29 21 13 17 17 29 20 27 20 23 11 23 16 27 17 15 10 26 27 15 26 
17 23 18 28 18 15 18 25 13 28 10 15 22 27 18 10 27 0 30 18 12 29 10 28 11 19 18 30 10 15 21 18 13 13 22 28 20 27 20 24 19 10 24 30 14 22 11 27 11 20 17 15 26 12 26 20 23 19 11 28 12 20 11 22 12 22 13 15 15 17 28 24 13 13 26 22 15 12 10 15 25 14 20 24 13 16 29 26 24 10 22 18 26 10 12 10 29 25 29 13 21 
18 30 10 21 22 19 13 29 21 19 17 11 10 20 10 19 25 30 0 11 13 29 15 30 21 13 26 18 24 23 25 20 23 28 16 30 14 10 21 19 17 17 19 11 28 18 24 18 12 16 21 21 24 10 19 25 26 23 18 20 13 11 24 28 29 28 29 12 30 20 27 20 19 28 29 20 22 13 30 21 30 14 24 17 13 21 14 25 24 16 21 11 29 21 16 29 18 24 30 18 17 
19 26 20 24 17 30 16 16 23 19 17 11 12 22 22 25 28 18 11 0 16 12 27 30 24 17 29 19 18 15 26 30 29 20 29 20 22 27 14 11 30 12 22 19 12 13 14 23 15 19 24 20 21 29 24 18 15 16 21 21 28 26 17 12 24 19 26 24 24 23 21 19 16 30 22 20 11 27 21 24 22 12 12 22 28 15 27 20 26 14 17 20 11 21 30 18 28 21 13 10 20 
20 10 26 25 28 22 13 25 13 30 21 22 26 27 25 12 18 12 13 16 0 21 28 30 16 20 26 18 20 24 12 27 21 10 22 23 26 18 11 28 17 24 10 10 30 23 25 27 12 15 16 20 17 11 27 27 19 18 14 30 22 10 10 29 20 20 27 25 21 22 28 28 18 22 10 10 10 27 21 24 29 27 30 24 16 11 23 10 10 25 12 10 25 27 24 29 20 20 18 26 10 
21 12 13 18 27 28 23 12 28 30 16 25 28 11 20 14 21 29 29 12 21 0 15 17 14 16 29 30 11 17 18 26 12 17 19 22 27 25 24 24 19 29 19 22 25 27 28 12 26 20 22 25 29 10 26 27 14 30 20 16 27 11 11 10 21 18 29 19 28 18 16 19 11 23 23 16 19 24 12 28 24 19 21 20 30 16 30 16 16 11 28 28 11 17 14 14 28 22 14 22 21 
22 14 15 23 30 23 10 13 10 26 21 12 26 30 30 16 25 10 15 27 28 15 0 25 29 13 25 20 30 13 10 28 15 30 15 14 30 17 25 13 10 18 23 26 15 17 21 17 28 25 23 13 16 23 23 17 19 11 17 25 25 15 27 14 18 24 13 25 27 24 17 23 21 13 16 20 11 24 28 28 15 15 16 19 30 14 22 11 25 16 19 19 18 24 19 21 24 19 28 26 10 
23 24 28 13 28 22 26 13 28 27 18 12 15 30 23 28 21 28 30 30 30 17 25 0 28 15 20 14 12 14 29 28 15 20 30 19 19 22 16 20 19 24 26 25 22 26 24 16 10 23 24 23 10 30 29 29 29 10 27 13 16 18 11 11 28 21 13 19 25 16 12 24 29 30 13 28 26 22 10 30 21 16 25 26 20 25 12 27 14 20 17 14 20 12 27 29 26 30 13 20 29 
24 19 22 26 10 26 15 25 21 10 25 17 13 16 12 27 13 11 21 24 16 14 29 28 0 30 23 26 20 24 25 30 29 29 10 11 21 25 20 12 14 24 21 19 17 30 19 12 17 14 10 18 28 21 20 22 18 24 26 18 12 14 17 27 14 18 23 28 12 15 10 10 28 18 12 28 21 27 30 16 20 14 27 20 14 24 29 23 18 19 25 23 16 27 30 17 23 14 30 21 19 
25 28 30 25 14 10 25 10 18 29 12 26 21 30 13 23 30 19 13 17 20 16 13 15 30 0 22 13 17 28 24 13 25 20 10 11 13 24 22 28 18 12 24 19 16 16 23 14 20 30 14 16 30 14 23 15 17 11 17 26 13 17 12 26 23 18 24 22 21 25 21 27 21 21 26 18 26 20 26 19 20 13 28 30 14 29 11 11 23 11 12 23 15 20 16 15 17 17 19 15 12 
26 29 19 30 28 30 26 20 27 15 30 18 12 13 10 12 11 18 26 29 26 29 25 20 23 22 0 12 24 19 15 14 12 14 26 19 11 25 28 14 30 18 28 12 16 11 15 28 22 24 17 12 13 20 22 10 14 29 24 14 18 29 12 28 15 15 29 27 15 28 20 22 17 11 24 12 16 19 28 22 20 19 15 30 18 14 14 17 27 23 11 15 26 26 16 15 23 24 23 30 11 
27 21 14 18 25 15 13 20 28 21 26 19 30 10 16 21 14 30 18 19 18 30 20 14 26 13 12 0 18 22 11 12 28 29 14 30 23 20 16 19 13 10 19 12 13 19 11 21 22 13 10 30 15 18 11 20 10 12 20 25 19 25 19 12 17 30 17 18 19 27 27 16 25 29 28 25 11 22 15 10 26 25 25 26 14 17 21 17 17 21 22 13 26 14 23 26 26 28 21 25 17 
28 27 13 13 22 13 26 27 26 24 16 13 27 29 22 16 14 10 24 18 20 11 30 12 20 17 24 18 0 17 15 10 26 15 25 30 15 18 21 13 16 30 17 10 10 23 13 30 29 24 25 19 25 15 14 22 21 11 26 28 17 14 11 30 18 27 10 11 29 12 30 10 30 14 29 23 24 19 19 26 15 30 26 24 28 23 12 15 15 30 28 15 13 25 25 24 12 27 15 20 20 
29 10 22 22 13 29 19 29 11 29 23 21 13 17 27 20 18 15 23 15 24 17 13 14 24 28 19 22 17 0 18 28 17 11 25 26 28 24 14 16 29 20 15 25 17 13 11 26 26 20 13 23 19 16 15 19 19 13 23 17 24 14 22 17 19 18 13 19 22 15 23 26 29 12 10 22 12 27 12 18 28 19 24 30 26 23 27 15 14 16 21 25 13 14 20 26 23 30 28 14 12 
30 15 15 26 17 20 23 14 17 18 12 24 13 17 13 15 14 21 25 26 12 18 10 29 25 24 15 11 15 18 0 18 15 27 20 10 15 10 18 12 21 17 11 21 16 19 17 21 10 21 27 11 20 11 22 10 11 23 27 21 10 13 22 16 15 26 19 20 14 26 22 25 13 22 17 26 13 20 15 12 30 17 15 10 27 12 12 15 23 24 11 28 29 17 28 24 28 14 15 18 23 
31 17 11 11 17 22 11 10 30 16 29 22 23 17 12 13 25 18 20 30 27 26 28 28 30 13 14 12 10 28 18 0 16 17 10 15 13 30 18 26 27 13 30 22 16 12 26 29 12 27 14 29 19 10 24 18 11 20 14 10 24 19 12 12 12 14 12 16 14 25 15 12 22 18 14 21 14 15 26 20 24 20 11 19 29 30 30 24 28 18 30 19 26 28 12 14 13 29 19 10 16 
32 12 19 16 30 19 26 30 20 20 25 26 27 28 23 21 10 13 23 29 21 12 15 15 29 25 12 28 26 17 15 16 0 24 16 22 25 12 27 20 19 25 12 20 10 28 28 26 21 25 16 17 27 27 17 20 13 19 11 12 28 12 23 29 27 30 29 14 18 24 30 17 14 24 15 21 15 20 18 30 19 15 24 30 21 17 10 25 26 12 26 18 17 13 13 18 10 21 22 20 26 
33 19 17 10 18 15 13 23 15 29 29 21 23 28 27 11 25 13 28 20 10 17 30 20 29 20 14 29 15 11 27 17 24 0 12 10 29 30 13 22 18 12 15 23 14 15 14 21 15 24 18 25 23 18 26 17 19 19 17 29 10 22 11 24 26 30 20 28 12 13 25 20 14 20 27 10 14 21 10 30 15 20 19 13 16 17 19 27 17 24 13 30 15 23 13 21 22 26 12 20 27 
34 24 18 26 21 25 21 26 16 24 11 13 11 12 23 22 22 22 16 29 22 19 15 30 10 10 26 14 25 25 20 10 16 12 0 14 24 22 17 13 10 19 14 21 14 12 23 18 17 21 28 14 13 15 20 12 30 28 16 13 15 13 20 30 29 20 16 20 27 25 15 15 24 21 14 23 22 16 26 12 17 13 27 15 11 24 29 28 27 13 19 24 15 25 25 10 25 13 29 29 12 
35 14 25 18 11 25 27 19 13 16 29 19 28 13 19 16 17 28 30 20 23 22 14 19 11 11 19 30 30 26 10 15 22 10 14 0 13 12 27 11 21 24 21 14 25 29 22 13 27 16 19 15 17 28 13 15 22 26 25 23 21 24 25 13 18 13 12 17 11 14 23 20 11 17 22 21 10 11 28 10 21 25 29 15 30 22 23 10 17 14 22 10 13 27 26 21 25 22 18 13 20 
36 24 14 20 22 16 23 11 27 13 24 18 17 21 30 25 27 20 14 22 26 27 30 19 21 13 11 23 15 28 15 13 25 29 24 13 0 25 15 21 17 26 16 20 18 20 29 29 20 18 30 28 17 12 26 18 23 27 23 23 13 15 26 18 19 24 19 29 25 16 22 18 25 21 18 18 15 10 11 14 24 13 23 20 19 20 24 23 18 13 18 15 22 25 26 14 13 29 26 16 30 
37 29 28 27 15 16 24 23 26 14 22 13 28 27 14 13 28 27 10 27 18 25 17 22 25 24 25 20 18 24 10 30 12 30 22 12 25 0 16 25 13 21 23 27 23 19 30 11 10 24 11 27 30 29 17 26 22 21 29 22 28 17 19 30 25 20 11 25 15 27 18 23 19 19 15 19 27 20 22 27 15 22 16 23 13 15 27 21 15 26 20 29 20 20 27 21 28 12 18 29 14 
38 24 24 13 20 25 14 29 20 14 25 11 27 22 12 12 14 20 21 14 11 24 25 16 20 22 28 16 21 14 18 18 27 13 17 27 15 16 0 14 19 24 20 24 17 16 11 29 12 24 13 24 10 17 26 20 13 21 22 30 16 19 17 15 23 13 22 28 10 22 22 26 27 29 23 27 15 15 11 30 23 29 28 24 21 12 11 11 30 27 12 20 20 13 27 20 29 21 29 12 18 
39 11 26 15 22 23 29 23 28 27 13 29 14 12 28 24 25 24 19 11 28 24 13 20 12 28 14 19 13 16 12 26 20 22 13 11 21 25 14 0 23 30 10 10 24 16 23 17 10 27 25 23 28 26 25 16 23 21 14 18 28 30 12 17 19 10 25 29 28 18 14 24 20 11 10 24 23 23 17 18 21 25 28 24 22 27 15 11 13 25 27 22 25 21 11 27 26 23 20 17 14 
40 24 20 22 22 18 23 25 21 22 17 27 21 27 13 13 13 19 17 30 17 19 10 19 14 18 30 13 16 29 21 27 19 18 10 21 17 13 19 23 0 13 29 21 28 23 14 13 30 24 10 25 16 20 17 11 14 18 15 17 19 10 21 19 11 22 12 28 21 21 28 16 17 25 21 25 26 24 17 23 26 17 25 26 17 20 20 26 26 12 16 18 20 20 11 25 20 11 24 17 15 
41 10 10 16 13 19 23 22 21 19 20 21 25 24 27 16 27 10 17 12 24 29 18 24 24 12 18 10 30 20 17 13 25 12 19 24 26 21 24 30 13 0 10 21 26 27 20 29 26 26 17 10 29 20 23 20 27 14 14 25 27 19 18 13 12 17 28 19 27 21 23 26 15 13 30 29 13 21 21 17 14 17 23 27 19 18 23 28 15 24 14 11 14 17 29 23 16 24 10 15 17 
42 26 24 13 17 15 20 22 20 18 29 28 25 23 15 13 22 24 19 22 10 19 23 26 21 24 28 19 17 15 11 30 12 15 14 21 16 23 20 10 29 10 0 10 13 15 16 21 15 27 19 25 29 22 10 26 21 13 19 29 24 16 27 28 12 17 13 20 13 13 17 11 17 29 16 13 21 10 19 18 18 12 27 18 13 16 30 17 30 20 24 23 28 11 24 30 11 20 24 14 10 
43 20 14 14 24 10 23 17 17 25 19 23 12 25 13 12 12 30 11 19 10 22 26 25 19 19 12 12 10 25 21 22 20 23 21 14 20 27 24 10 21 21 10 0 11 10 23 17 17 29 13 26 17 19 10 16 29 16 26 12 16 29 29 20 11 15 10 14 28 21 26 21 15 22 21 10 20 27 24 25 12 24 17 30 26 13 17 24 15 29 15 12 28 18 15 21 14 21 17 28 22 
44 16 27 17 11 14 15 23 24 10 28 20 11 14 27 10 20 14 28 12 30 25 15 22 17 16 16 13 10 17 16 16 10 14 14 25 18 23 17 24 28 26 13 11 0 29 24 26 30 25 24 26 29 25 11 16 17 30 16 15 25 27 14 13 20 21 25 20 16 24 28 23 21 12 27 24 28 16 12 22 17 13 24 18 28 12 17 29 28 29 26 12 22 23 12 17 25 28 16 17 10 
45 15 19 14 30 21 28 22 10 11 29 18 26 24 23 16 15 22 18 13 23 27 17 26 30 16 11 19 23 13 19 12 28 15 12 29 20 19 16 16 23 27 15 10 29 0 20 30 10 13 29 28 10 19 10 15 19 19 25 25 23 18 28 27 21 13 20 24 21 22 24 30 20 26 16 26 24 28 30 25 19 28 26 29 27 29 24 22 14 12 27 20 26 14 17 12 22 28 23 28 18 
46 23 13 24 25 24 12 23 22 14 12 10 14 15 27 10 15 11 24 14 25 28 21 24 19 23 15 11 13 11 17 26 28 14 23 22 29 30 11 23 14 20 16 23 24 20 0 27 24 18 10 16 16 19 22 16 28 14 23 24 25 25 23 21 25 18 22 23 21 26 20 19 25 21 18 24 20 16 14 18 20 26 26 13 13 18 20 13 20 24 24 29 30 29 22 15 22 12 26 28 13 
47 16 20 14 12 11 10 17 10 11 21 24 17 23 21 30 16 27 18 23 27 12 17 16 12 14 28 21 30 26 21 29 26 21 18 13 29 11 29 17 13 29 21 17 26 30 27 0 29 16 22 23 23 21 10 29 26 19 15 12 27 14 18 20 16 23 13 12 21 14 29 27 23 24 14 21 30 23 16 23 18 20 13 24 20 15 30 24 19 19 17 11 14 11 17 14 24 28 17 11 11 
48 19 29 17 30 16 24 12 12 20 29 12 26 12 17 12 29 11 12 15 12 26 28 10 17 20 22 22 29 26 10 12 21 15 17 27 20 10 12 10 30 26 15 17 30 10 24 29 0 19 21 16 30 25 13 17 12 11 10 15 24 20 10 10 20 16 11 26 10 27 28 16 26 16 27 25 30 13 10 16 30 11 23 20 27 10 10 10 25 24 12 25 13 25 25 24 28 27 19 18 23 
49 14 23 21 19 11 22 11 11 13 20 11 28 28 23 30 21 20 16 19 15 20 25 23 14 30 24 13 24 20 21 27 25 24 21 16 18 24 24 27 24 26 27 29 25 13 18 16 19 0 20 10 28 18 20 23 18 15 20 16 29 29 19 19 27 24 17 11 19 30 16 23 18 23 11 27 28 21 12 22 23 27 13 20 29 24 23 18 10 27 18 10 20 15 23 28 11 21 18 14 26 
50 12 30 16 29 18 19 18 25 22 22 22 23 22 17 22 16 17 21 24 16 22 23 24 10 14 17 10 25 13 27 14 16 18 28 19 30 11 13 25 10 17 19 13 24 29 10 22 21 20 0 22 23 17 18 15 20 25 24 14 19 23 29 21 25 28 23 14 17 23 21 17 20 27 10 28 13 18 20 23 19 12 27 15 18 10 23 13 10 19 27 23 20 18 18 28 22 12 12 17 29 
51 21 21 26 20 11 19 28 18 15 26 28 28 16 14 15 16 15 21 20 20 25 13 23 18 16 12 30 19 23 11 29 17 25 14 15 28 27 24 23 25 10 25 26 26 28 16 23 16 10 22 0 22 14 12 14 17 18 21 25 24 22 25 28 28 12 22 12 20 18 30 15 28 12 27 12 24 16 19 17 26 11 19 29 16 25 27 23 29 19 27 28 22 20 18 14 16 20 18 16 26 
52 25 18 11 24 25 27 16 25 29 16 23 15 10 22 29 13 26 24 21 17 29 16 10 28 30 13 15 25 19 20 19 27 23 13 17 17 30 10 28 16 29 29 17 29 10 16 23 30 28 23 22 0 12 10 16 22 17 10 19 12 19 23 13 11 11 23 25 12 23 16 15 22 27 13 15 27 23 14 29 11 22 21 13 21 12 25 29 27 28 18 19 11 16 19 28 21 16 26 23 15 
53 21 27 26 28 13 19 22 14 21 22 20 27 26 16 24 21 12 10 29 11 10 23 30 21 14 20 18 15 16 11 10 27 18 15 28 12 29 17 26 20 20 22 19 25 19 19 21 25 18 17 14 12 0 12 16 23 15 25 11 29 14 21 14 26 20 27 28 25 17 27 30 18 14 13 29 20 15 18 15 11 23 12 29 25 20 20 19 11 10 17 20 14 19 15 26 28 11 14 20 18 
54 29 29 20 21 30 24 22 25 10 15 17 12 30 19 18 29 26 19 24 27 26 23 29 20 23 22 11 14 15 22 24 17 26 20 13 26 17 26 25 17 23 10 10 11 10 22 10 13 20 18 12 10 12 0 20 13 21 25 17 20 29 27 30 22 10 19 25 27 20 29 21 23 15 19 20 25 24 21 12 19 23 21 30 13 28 10 18 13 19 13 21 15 11 26 25 10 22 14 22 20 
55 10 27 18 19 11 25 10 11 26 12 27 26 11 12 28 30 20 25 18 27 27 17 29 22 15 10 20 22 19 10 18 20 17 12 15 18 26 20 16 11 20 26 16 16 15 16 29 17 23 15 14 16 16 20 0 28 10 10 14 12 24 22 19 22 14 29 24 23 11 11 20 17 10 30 11 29 20 22 28 26 30 15 20 28 14 28 23 30 15 26 29 15 22 13 19 20 25 29 11 24 
56 28 19 28 11 26 21 26 28 25 18 17 11 14 12 26 16 23 26 15 19 14 19 29 18 17 14 10 21 19 11 11 13 19 30 22 23 22 13 23 14 27 21 29 17 19 28 26 12 18 20 17 22 23 13 28 0 26 29 18 28 23 17 18 20 12 17 11 11 16 10 20 22 14 25 29 27 22 19 14 22 20 20 25 20 12 19 28 24 30 19 29 13 13 28 30 18 20 12 13 19 
57 27 14 11 15 11 10 23 24 15 19 22 28 19 27 18 28 19 23 16 18 30 11 10 24 11 29 12 11 13 23 20 19 19 28 26 27 21 21 21 18 14 13 16 30 19 14 19 11 15 25 18 17 15 21 10 26 0 28 22 15 21 17 13 12 22 27 12 19 23 19 26 30 28 18 25 17 23 25 30 12 23 20 23 18 27 21 18 14 27 22 22 26 24 19 11 26 11 28 24 25 
58 14 11 15 15 22 12 20 14 28 18 13 29 23 24 29 17 11 18 21 14 20 17 27 26 17 24 20 26 23 27 14 11 17 16 25 23 29 22 14 15 14 19 26 16 25 23 15 10 20 24 21 10 25 25 10 29 28 0 28 19 11 27 26 29 28 14 19 22 28 10 23 21 12 19 17 15 24 21 24 21 18 29 12 17 14 22 15 12 16 23 10 23 23 26 27 20 22 14 22 26 
59 13 19 13 17 12 24 22 16 24 14 21 17 26 16 14 14 28 20 21 30 16 25 13 18 26 14 25 28 17 21 10 12 29 13 23 23 22 30 18 17 25 29 12 15 25 24 12 15 16 14 25 19 11 17 14 18 22 28 0 16 18 27 23 14 10 29 12 18 19 15 24 21 10 22 19 23 30 13 28 29 12 21 26 21 13 19 30 13 29 10 23 29 19 22 30 12 18 22 12 12 
60 22 24 13 14 30 22 27 18 26 20 30 14 16 20 15 21 12 13 28 22 27 25 16 12 13 18 19 17 24 10 24 28 10 15 21 13 28 16 28 19 27 24 16 25 23 25 27 24 29 19 24 12 29 20 12 28 15 19 16 0 22 13 20 14 17 21 28 14 29 16 29 26 24 10 11 30 16 30 21 23 10 24 17 16 12 20 24 26 28 18 17 14 29 11 12 19 20 29 14 28 
61 23 22 30 15 21 24 30 19 21 30 21 18 14 29 26 27 20 11 26 10 11 15 18 14 17 29 25 14 14 13 19 12 22 13 24 15 17 19 30 10 19 16 29 27 18 25 14 20 29 23 22 19 14 29 24 23 21 11 18 22 0 19 30 19 11 20 22 23 26 21 12 15 21 29 24 22 19 26 28 12 25 28 13 20 25 28 23 13 19 16 21 14 29 10 26 18 20 27 23 22 
62 17 23 19 25 20 20 12 29 13 17 15 17 13 21 16 30 11 24 17 10 11 27 11 17 12 12 19 11 22 22 12 23 11 20 25 26 19 17 12 21 18 27 29 14 28 23 18 10 19 29 25 23 21 27 22 17 17 27 27 13 19 0 14 30 19 24 16 10 12 25 13 23 15 12 18 27 26 15 30 12 20 16 26 30 18 11 24 20 14 30 25 18 14 14 28 27 21 28 28 18 
63 23 30 16 29 15 15 24 14 12 25 24 30 18 23 24 26 22 28 12 29 10 14 11 27 26 28 12 30 17 16 12 29 24 30 13 18 30 15 17 19 13 28 20 13 27 21 20 10 19 21 28 13 14 30 19 18 13 26 23 20 30 14 0 16 18 19 24 11 29 19 27 28 28 28 24 24 27 29 15 19 26 30 21 23 11 18 16 28 30 12 20 22 20 25 29 25 17 26 25 26 
64 11 23 17 23 25 13 22 11 28 19 18 19 14 21 26 14 12 29 24 20 21 18 28 14 23 15 17 18 19 15 12 27 26 29 18 19 25 23 19 11 12 12 11 20 21 25 16 20 27 25 28 11 26 22 22 20 12 29 14 14 19 30 16 0 14 27 14 27 19 11 17 14 23 26 28 20 12 28 13 27 26 23 27 23 29 29 29 18 26 19 18 26 14 17 20 21 14 24 30 19 
65 11 15 16 19 28 16 16 30 21 18 13 27 10 28 13 23 22 28 19 20 18 24 21 18 18 15 30 27 18 26 14 30 30 20 13 24 20 13 10 22 17 17 15 21 13 18 23 16 24 28 12 11 20 10 14 12 22 28 10 17 11 19 18 14 0 15 22 15 24 14 19 21 11 16 17 19 14 19 27 28 20 18 26 14 24 20 15 23 29 21 10 27 18 15 28 13 19 18 28 10 
66 30 29 14 27 10 28 26 20 14 18 18 15 10 28 13 24 13 29 26 27 29 13 13 23 24 29 17 10 13 19 12 29 20 16 12 19 11 22 25 12 28 13 10 25 20 22 13 11 17 23 22 23 27 19 29 17 27 14 29 21 20 24 19 27 15 0 17 29 11 30 20 18 20 16 28 10 29 24 28 19 14 14 29 17 23 22 18 10 18 14 26 18 24 26 22 29 23 25 26 23 
